WhiteElo,BlackElo,Result,Termination,Opening,ECO,TimeControl
1840,1524,1-0,Time forfeit,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",B00,120+0
1881,1598,0-1,Time forfeit,Nimzo-Indian Defense #2,E20,60+0
1537,1786,0-1,Time forfeit,"Sicilian Defense: Canal Attack, Main Line",B52,300+0
1351,1352,1-0,Normal,"King's Gambit Declined, Queen's Knight Defense",C30,180+10
1798,1315,1-0,Normal,Queen's Pawn Game: Krause Variation,D02,420+5
1500,1517,1-0,Normal,Philidor Defense: Exchange Variation,C41,480+8
1928,1797,1-0,Normal,Slav Defense: Schlechter Variation,D15,300+3
1714,1721,0-1,Normal,"King's Gambit, Falkbeer Countergambit Accepted",C31,60+1
1619,1863,0-1,Normal,Sicilian Defense: Closed,B23,60+0
1236,1239,0-1,Normal,Van't Kruijs Opening,A00,0+8
1714,1639,1-0,Normal,"English Opening: Anglo-Indian Defense, Old Indian Formation",A15,300+2
1456,1425,1-0,Normal,King's Pawn Game: Leonardis Variation,C20,300+3
1651,1442,0-1,Normal,Scotch Game,C45,480+8
1810,1596,0-1,Normal,Horwitz Defense,A40,180+0
1847,1750,0-1,Normal,Van't Kruijs Opening,A00,60+1
1366,1243,1-0,Normal,Horwitz Defense,A40,1800+0
1312,1328,0-1,Normal,King's Pawn Game: Wayward Queen Attack,C20,900+8
1224,1250,0-1,Normal,Van't Kruijs Opening,A00,0+8
1868,1614,1-0,Normal,Old Indian Defense,A53,60+0
1561,1529,1-0,Normal,Slav Defense: Quiet Variation,D11,300+5
1762,1692,0-1,Normal,"King's Gambit Accepted, MacLeod Defense",C34,300+8
1609,1872,0-1,Normal,French Defense: Marshall Variation,C10,60+0
1500,1642,0-1,Normal,Nimzo-Larsen Attack: Modern Variation,A01,120+2
1731,1808,0-1,Normal,Modern Defense,B06,240+0
1775,1795,1-0,Normal,Caro-Kann Defense,B10,300+3
1701,1591,1-0,Normal,Bishop's Opening,C23,120+2
2090,1911,0-1,Normal,French Defense: Knight Variation,C00,180+3
1876,1605,0-1,Normal,Horwitz Defense,A40,60+0
1621,1793,0-1,Time forfeit,Queen's Pawn Game #2,D00,180+0
1551,1542,0-1,Time forfeit,Bishop's Opening,C23,300+3
1687,1622,0-1,Normal,Caro-Kann Defense: Hillbilly Attack,B00,120+3
1485,1603,0-1,Normal,Caro-Kann Defense: Hillbilly Attack,B00,240+0
1765,1834,0-1,Time forfeit,Dutch Defense: Rubinstein Variation,A84,60+1
1625,1858,0-1,Time forfeit,Sicilian Defense: French Variation,B40,60+0
1704,1596,0-1,Normal,Blumenfeld Countergambit #2,E10,180+3
1213,1261,0-1,Normal,Van't Kruijs Opening,A00,0+8
1500,1758,0-1,Normal,French Defense: Exchange Variation,C01,1800+30
1927,2068,0-1,Normal,Colle System,D05,180+3
1799,1867,1-0,Normal,"English Opening: King's English Variation, Two Knights Variation, Keres Variation",A23,420+5
1863,1620,1-0,Normal,Old Indian Defense,A53,60+0
1636,1631,1-0,Normal,Ruy Lopez: Berlin Defense #2,C65,300+8
1495,1635,1-0,Time forfeit,Caro-Kann Defense,B15,300+5
1374,1226,1-0,Time forfeit,Queen's Pawn,A41,-
1595,1582,0-1,Time forfeit,Ruy Lopez: Cozio Defense,C60,300+5
1850,1696,1-0,Normal,"French Defense: Advance Variation, Paulsen Attack",C02,300+8
1615,1867,0-1,Time forfeit,French Defense: Marshall Variation,C10,60+0
1191,1356,0-1,Normal,French Defense: Normal Variation,C00,300+1
1799,1612,0-1,Normal,Horwitz Defense,A40,180+0
1615,1598,1-0,Normal,Queen's Pawn Game #2,D00,60+1
1705,1749,1-0,Normal,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Vehre Variation",B00,300+8
1202,1271,1-0,Normal,Van't Kruijs Opening,A00,0+8
1343,1421,0-1,Normal,Rat Defense: Small Center Defense,C00,300+5
1827,1794,0-1,Normal,Rat Defense: Harmonist,B07,60+1
1641,1489,1-0,Normal,Sicilian Defense: Nimzowitsch Variation,B29,300+8
1872,1610,1-0,Time forfeit,Old Indian Defense,A41,60+0
1720,1952,0-1,Normal,Sicilian Defense: Accelerated Dragon,B36,300+0
1823,2077,0-1,Time forfeit,French Defense: Mediterranean Defense,C01,300+0
1584,1618,0-1,Time forfeit,Russian Game: Urusov Gambit,C42,300+5
1754,1500,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,600+2
1477,1320,0-1,Time forfeit,Pirc Defense,B07,180+0
1783,1789,1-0,Time forfeit,Queen's Pawn Game,D00,180+0
1511,1876,0-1,Time forfeit,Franco-Benoni Defense,A43,60+0
1533,1257,1-0,Normal,Bishop's Opening,C23,240+4
1455,1570,0-1,Normal,Van't Kruijs Opening,A00,480+8
1816,1814,0-1,Normal,Englund Gambit Complex: Englund Gambit,A40,240+0
1870,1404,0-1,Time forfeit,Philidor Defense: Exchange Variation,C41,300+20
1843,1663,0-1,Normal,Caro-Kann Defense,B10,60+1
1532,1500,1-0,Normal,French Defense: Advance Variation,C02,420+10
1302,1319,0-1,Normal,Modern Defense,B06,900+8
1627,1694,0-1,Normal,"Ruy Lopez: Cozio Defense, Paulsen Variation",C60,300+8
1553,1540,0-1,Normal,Philidor Defense #3,C41,300+3
1936,1590,0-1,Normal,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",D02,180+0
1574,1921,1-0,Normal,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",C67,300+5
1631,1490,1/2-1/2,Normal,Scotch Game: Haxo Gambit,C45,120+2
1690,1595,0-1,Normal,"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch",D30,180+3
1625,1693,1-0,Normal,Horwitz Defense,A40,60+1
1807,1888,0-1,Normal,Sicilian Defense: McDonnell Attack,B21,60+0
1776,1794,1-0,Normal,Queen's Gambit Accepted,D20,180+0
1216,1493,0-1,Normal,Van't Kruijs Opening,A00,0+8
1956,1714,1-0,Time forfeit,"French Defense: Advance Variation, Paulsen Attack",C02,300+0
1338,1270,1-0,Normal,Queen's Gambit Accepted,D20,1740+30
1736,1717,1/2-1/2,Normal,"King's Gambit Accepted, MacLeod Defense",C34,300+8
1648,1725,0-1,Normal,Sicilian Defense,B50,300+8
1443,1647,1-0,Normal,"King's Gambit Accepted, Modern Defense",C36,120+2
1386,1489,1-0,Normal,Queen's Gambit Declined: Normal Defense,D35,1200+0
1618,1520,1-0,Normal,King's Pawn Game: Gunderam Gambit,C40,300+8
2083,1807,1-0,Normal,King's Indian Defense: Four Pawns Attack,E76,120+0
1610,1443,1-0,Normal,Three Knights Opening,C46,180+5
1798,1711,1-0,Time forfeit,French Defense: La Bourdonnais Variation,C00,60+1
1680,1638,0-1,Time forfeit,Saragossa Opening,A00,0+1
1783,1789,0-1,Normal,King's Pawn Game,C20,180+0
1813,1854,1/2-1/2,Normal,English Opening: Symmetrical Variation,A30,420+5
1413,1541,1-0,Normal,Ruy Lopez: Steinitz Defense,C62,420+8
1667,1650,1-0,Time forfeit,Saragossa Opening,A00,0+1
1212,1498,0-1,Normal,Van't Kruijs Opening,A00,0+8
1849,1818,0-1,Normal,Slav Defense: Diemer Gambit,B12,300+0
1501,1627,0-1,Normal,"King's Gambit Accepted, Gianutio Countergambit",C34,120+2
1678,1507,1-0,Time forfeit,Saragossa Opening,A00,0+1
1806,1702,0-1,Normal,Van't Kruijs Opening,A00,60+1
1183,1289,1-0,Time forfeit,Queen's Gambit Accepted: Old Variation,D20,300+1
1208,1500,0-1,Normal,Van't Kruijs Opening,A00,0+8
1347,1268,1-0,Normal,Queen's Gambit Declined,D30,720+11
1610,1500,1-0,Time forfeit,Vienna Game: Stanley Variation,C26,300+0
1413,1430,0-1,Normal,Van't Kruijs Opening,A00,300+0
1420,1437,1-0,Normal,Three Knights Opening,C46,300+0
1639,1500,0-1,Normal,"Queen's Gambit Declined: Neo-Orthodox Variation, Main Line",D55,240+4
1587,1475,1-0,Normal,Mikenas Defense,A40,1200+0
1684,1497,0-1,Time forfeit,Mieses Opening,A00,0+1
1236,1146,0-1,Normal,Indian Game,A45,-
1801,1772,0-1,Time forfeit,Queen's Gambit Accepted,D20,180+0
1896,1803,1-0,Time forfeit,King's Indian Defense: Smyslov Variation,E61,60+0
1616,1676,0-1,Normal,French Defense: Knight Variation,C00,180+3
1639,1314,1/2-1/2,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,600+0
1815,1878,0-1,Time forfeit,Sicilian Defense: McDonnell Attack,B21,60+0
1617,1359,1-0,Normal,Vienna Game,C27,300+0
1717,2088,0-1,Time forfeit,Queen's Gambit Declined,D30,120+0
1984,1901,1-0,Normal,Scotch Game,C44,420+0
1668,1640,1/2-1/2,Normal,Queen's Pawn Game #2,D00,0+1
1500,1362,0-1,Normal,Sicilian Defense: Closed Variation,B23,300+2
1447,1425,0-1,Normal,Queen's Pawn Game #3,D00,480+8
1845,1500,0-1,Normal,"Italian Game: Classical Variation, Greco Gambit, Traditional Line",C54,300+20
1594,1635,1-0,Normal,French Defense: Normal Variation,C00,300+5
1640,1683,0-1,Normal,Four Knights Game: Gunsberg Variation,C46,1200+0
1461,1537,1/2-1/2,Normal,Ruy Lopez: Steinitz Defense,C62,180+3
1794,1905,0-1,Time forfeit,Sicilian Defense: Marshall Counterattack,B40,60+0
1626,1511,0-1,Normal,King's Pawn Game: McConnell Defense,C40,300+8
1435,1685,0-1,Normal,Queen's Pawn Game: Chigorin Variation,D00,600+0
1733,1639,0-1,Normal,Philidor Defense #3,C41,300+8
1335,1458,0-1,Normal,Scandinavian Defense: Modern Variation #2,B01,0+10
1204,1573,0-1,Normal,Zukertort Opening: Quiet System,A04,0+8
1843,1755,1-0,Normal,Caro-Kann Defense,B12,120+0
1573,2020,0-1,Normal,"Semi-Slav Defense: Meran Variation, Wade Variation",D47,180+2
1490,1607,0-1,Time forfeit,Queen's Gambit Declined: Tarrasch Defense: 4.cxd5 exd5,D32,60+2
1667,1641,1-0,Time forfeit,Saragossa Opening,A00,0+1
1754,1914,0-1,Time forfeit,Indian Game,A45,300+2
1677,1631,0-1,Normal,Queen's Pawn Game #2,D00,0+1
1551,1542,1-0,Normal,Hungarian Opening,A00,300+3
1784,1788,1-0,Normal,Queen's Pawn Game,D00,180+0
1429,1332,1-0,Normal,Ruy Lopez: Exchange Variation,C68,420+8
1776,1503,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,300+5
1665,1643,0-1,Time forfeit,Queen's Pawn Game #2,D00,0+1
1468,1431,0-1,Normal,Giuoco Piano,C50,1200+0
1852,1680,0-1,Normal,Caro-Kann Defense: Advance Variation,B12,60+1
1470,1401,1-0,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,0+10
1483,1631,1-0,Normal,Queen's Gambit,D06,60+2
1201,1502,0-1,Normal,Van't Kruijs Opening,A00,0+8
1666,1633,0-1,Time forfeit,King's Pawn Game: Leonardis Variation,C20,240+0
1740,1578,1-0,Normal,Sicilian Defense,B50,600+2
1653,1654,0-1,Normal,Queen's Pawn Game #2,D00,0+1
1429,1441,0-1,Normal,"Queen's Pawn Game: Veresov Attack, Alburt Defense",D00,600+0
1758,1630,1-0,Normal,Indian Game,A45,240+4
2091,1703,1-0,Normal,Nimzo-Indian Defense #2,E20,120+0
1631,1652,1-0,Time forfeit,St. George Defense,B00,120+0
1795,1758,1-0,Time forfeit,Queen's Pawn Game,D00,180+0
1198,1506,0-1,Normal,Van't Kruijs Opening,A00,0+8
2235,1835,1-0,Time forfeit,East Indian Defense,A49,60+1
1915,1612,1-0,Time forfeit,Slav Defense #2,D10,300+8
1913,1665,1-0,Time forfeit,Queen's Gambit Declined: Queen's Knight Variation,D31,60+0
1701,2093,0-1,Normal,Sicilian Defense: McDonnell Attack,B21,120+0
1463,1534,1-0,Normal,Modern Defense: Mongredien Defense #2,B06,180+3
1257,1355,0-1,Normal,Queen's Pawn Game #2,D00,720+11
1194,1509,0-1,Normal,Van't Kruijs Opening,A00,0+8
1618,1606,1/2-1/2,Normal,"Englund Gambit Declined, Reversed French",A40,300+5
1739,1493,1-0,Normal,Queen's Pawn Game: Colle System,D04,240+0
1622,1703,0-1,Normal,Vienna Game: Max Lange Defense,C25,300+5
1532,1562,1-0,Normal,Owen Defense,B00,300+3
1661,1917,0-1,Normal,Old Benoni Defense,A43,60+0
1892,1715,1-0,Normal,Philidor Defense #2,C41,180+3
1597,1682,0-1,Normal,Vienna Game: Stanley Variation,C26,420+3
1444,1456,0-1,Normal,Four Knights Game: Italian Variation,C46,1200+0
2096,1698,1-0,Time forfeit,Slav Defense #2,D10,120+0
1749,1805,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,180+0
1993,1654,1-0,Normal,Philidor Defense: Hanham Variation,C41,420+0
1494,1780,0-1,Normal,Center Game: Normal Variation,C22,300+5
1403,1500,1-0,Normal,Queen's Pawn Game #2,D00,180+2
1921,1656,1-0,Time forfeit,Queen's Gambit Declined: Queen's Knight Variation,D31,60+0
2027,1543,1-0,Normal,Ruy Lopez,C60,180+2
1972,1694,0-1,Time forfeit,Queen's Pawn Game #3,D00,60+0
1391,1483,0-1,Normal,Queen's Pawn Game: Colle System,D04,0+10
1908,1747,1-0,Normal,Nimzo-Larsen Attack: Modern Variation #2,A01,300+2
1830,1915,1-0,Normal,Scandinavian Defense: Modern Variation #2,B01,180+2
1624,1576,1-0,Normal,Queen's Pawn Game: Symmetrical Variation,D02,360+3
1527,1342,0-1,Normal,Queen's Pawn Game #2,D00,60+4
1373,1595,0-1,Normal,King's Pawn Game: Wayward Queen Attack,C20,420+9
1437,1452,1-0,Normal,Scandinavian Defense,B01,420+8
1652,1926,1-0,Time forfeit,Benoni Defense: Benoni Gambit Accepted,A43,60+0
2058,1651,1-0,Normal,"Latvian Gambit Accepted, Bronstein Attack",C40,60+0
1649,1500,1-0,Normal,Queen's Pawn Game: Stonewall Attack,D00,1800+30
1696,2099,0-1,Time forfeit,Sicilian Defense: Old Sicilian,B30,120+0
1538,1500,1-0,Normal,Russian Game: Stafford Gambit,C42,1260+8
1949,1642,1-0,Time forfeit,Queen's Pawn,A40,0+2
1190,1443,0-1,Normal,Van't Kruijs Opening,A00,0+8
1630,1170,1-0,Time forfeit,King's Pawn Game: Damiano Defense,C40,600+0
1550,1543,0-1,Normal,Pirc Defense #5,B07,300+3
1292,1381,0-1,Normal,"Englund Gambit Declined, Reversed French",A40,900+8
1777,1651,1-0,Normal,King's Pawn Game: Mengarini's Opening,C20,300+0
1460,1357,0-1,Time forfeit,Saragossa Opening,A00,600+5
1792,1634,1/2-1/2,Time forfeit,Englund Gambit,A40,180+0
1185,1371,0-1,Normal,Van't Kruijs Opening,A00,0+8
1907,1671,0-1,Time forfeit,Queen's Gambit Declined: Queen's Knight Variation,D31,60+0
1414,2032,0-1,Normal,Slav Defense,D10,180+2
1606,1660,1-0,Normal,Sicilian Defense: Bowdler Attack,B20,300+15
1606,1618,1-0,Normal,"Sicilian Defense: Paulsen Variation, Normal Variation",B45,300+5
1179,1855,0-1,Normal,Zukertort Opening: Quiet System,A04,0+8
1822,1436,1-0,Normal,Hungarian Opening,A00,300+0
1667,1705,0-1,Normal,Ruy Lopez: Steinitz Defense,C62,720+8
1467,1451,1-0,Normal,Queen's Pawn Game: Mason Attack,D00,300+5
1785,1485,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,300+5
1500,1487,1-0,Time forfeit,Queen's Pawn Game: Chigorin Variation,D01,180+0
1953,1888,1-0,Time forfeit,Sicilian Defense: French Variation,B40,60+0
1521,1747,1-0,Normal,"French Defense: Advance Variation, Nimzowitsch System",C02,120+13
1524,1377,0-1,Normal,Queen's Pawn,A40,300+2
1178,1430,0-1,Normal,Van't Kruijs Opening,A00,0+8
1729,1587,1-0,Normal,"Alekhine Defense: Two Pawn Attack, Lasker Variation",B02,300+5
2101,1716,0-1,Time forfeit,Old Indian Defense,A53,120+0
1521,1413,0-1,Normal,Philidor Defense #3,C41,180+2
1879,1965,0-1,Normal,Semi-Slav Defense,D43,60+0
1632,1268,1-0,Time forfeit,"Scotch Game: Scotch Gambit, Advance Variation",C45,1200+0
1477,1639,1-0,Normal,Sicilian Defense: Bowdler Attack,B20,180+3
1426,1635,0-1,Normal,"King's Gambit Declined, Queen's Knight Defense",C30,600+0
1639,1644,1-0,Normal,Philidor Defense: Hanham Variation,C41,300+0
1787,1761,0-1,Normal,Queen's Pawn Game,D00,180+0
1173,1339,0-1,Normal,Van't Kruijs Opening,A00,0+8
1526,1436,0-1,Normal,Ruy Lopez: Bird Variation,C61,480+8
1870,1554,1-0,Time forfeit,Semi-Slav Defense,D43,60+0
1194,1373,0-1,Normal,Three Knights Opening,C46,300+2
1510,1458,1-0,Normal,Center Game: Normal Variation,C22,300+5
2077,1975,1-0,Normal,Horwitz Defense,A40,60+1
1437,1536,0-1,Time forfeit,Pirc Defense #4,B07,900+14
1874,1741,0-1,Normal,Old Indian Defense,A41,60+0
1719,1539,1-0,Normal,Queen's Gambit,D06,120+13
1468,1750,1-0,Normal,Bishop's Opening: Boi Variation,C20,120+4
1808,1921,0-1,Normal,Danish Gambit,C21,540+7
1554,1539,1-0,Normal,French Defense: Knight Variation,C00,300+3
1271,1309,0-1,Time forfeit,Van't Kruijs Opening,A00,300+4
1772,1776,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,180+0
1493,1433,1-0,Normal,Owen Defense,B00,180+3
1965,2086,0-1,Normal,Sicilian Defense: Grand Prix Attack,B23,60+1
1715,1656,1-0,Normal,"Vienna Game: Stanley Variation, Reversed Spanish",C26,720+8
1689,1637,0-1,Normal,Sicilian Defense: Bowdler Attack,B20,900+15
1561,1380,1-0,Time forfeit,French Defense: Advance Variation #3,C02,300+8
1392,1504,0-1,Normal,King's Pawn Game: Wayward Queen Attack,C20,300+2
1789,1425,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,300+5
1166,1687,0-1,Normal,Van't Kruijs Opening,A00,0+8
2095,1956,1-0,Normal,Dutch Defense: Queen's Knight Variation,A85,60+1
1760,1858,1-0,Time forfeit,Van't Kruijs Opening,A00,60+0
1529,1564,0-1,Time forfeit,Italian Game,C50,300+3
1425,1368,0-1,Normal,Three Knights Opening,C46,900+14
1746,1688,0-1,Normal,Queen's Gambit Declined: Harrwitz Attack,D37,120+0
1736,1579,1-0,Normal,"Alekhine Defense: Two Pawn Attack, Lasker Variation",B02,300+5
1176,1418,0-1,Time forfeit,King's Knight Opening: Normal Variation,C44,1800+30
1449,1601,1-0,Normal,Philidor Defense #2,C41,420+8
1830,1164,1-0,Normal,Philidor Defense,C41,300+20
1632,1589,0-1,Normal,Scotch Game,C44,600+0
1844,1701,1-0,Normal,Queen's Gambit Declined: Queen's Knight Variation,D31,60+0
1640,1353,1-0,Normal,Italian Game: Giuoco Pianissimo,C50,600+0
1633,1650,0-1,Time forfeit,King's Pawn Game: Leonardis Variation,C20,300+0
1584,1500,1/2-1/2,Normal,Bishop's Opening: Berlin Defense,C24,600+0
1524,1948,0-1,Normal,"Russian Game: Classical Attack, Closed Variation",C42,60+1
1765,1783,1-0,Time forfeit,Scandinavian Defense,B01,180+0
1713,1446,1-0,Normal,Horwitz Defense,A40,300+5
1748,1533,1-0,Time forfeit,Philidor Defense #3,C41,600+2
1498,1551,1-0,Time forfeit,Semi-Slav Defense,D43,60+2
1527,1492,1-0,Normal,Queen's Pawn Game #3,D00,1200+10
1950,1522,1-0,Normal,Reti Opening #2,A04,60+1
1164,1217,0-1,Normal,Van't Kruijs Opening,A00,0+8
1639,1694,1/2-1/2,Normal,Queen's Pawn Game #2,D00,0+1
1277,1468,0-1,Time forfeit,Sicilian Defense: Smith-Morra Gambit #2,B21,300+8
1743,1572,1-0,Normal,Sicilian Defense: Old Sicilian,B30,300+5
1458,1547,1-0,Normal,Philidor Defense: Exchange Variation #2,C41,240+3
1390,1572,0-1,Normal,Pirc Defense #5,B07,300+8
1640,1692,0-1,Time forfeit,Saragossa Opening,A00,0+1
1644,1544,0-1,Time forfeit,Rat Defense: Harmonist,B07,600+0
1953,1520,0-1,Normal,Indian Game,A45,60+0
1772,1776,1-0,Normal,Queen's Pawn Game: Zukertort Variation,D02,180+0
1502,1451,1-0,Time forfeit,Philidor Defense #3,C41,180+3
1647,1636,0-1,Normal,Sicilian Defense: Staunton-Cochrane Variation,B20,720+8
1792,1618,1-0,Normal,Queen's Gambit Refused: Marshall Defense,D06,300+5
1634,1884,0-1,Time forfeit,Horwitz Defense,A40,360+0
1153,1513,0-1,Normal,Van't Kruijs Opening,A00,0+8
1800,1724,1-0,Normal,Modern Defense,B06,540+7
1511,1536,1-0,Normal,Slav Defense #2,D10,60+2
1544,1927,0-1,Time forfeit,Van't Kruijs Opening,A00,60+0
1702,1851,1-0,Time forfeit,Old Benoni Defense,A43,60+0
1519,1661,0-1,Normal,Englund Gambit Complex: Englund Gambit,A40,120+2
1510,1471,1-0,Time forfeit,Sicilian Defense: Old Sicilian,B30,240+3
1831,1935,0-1,Normal,Sicilian Defense: Lasker-Pelikan Variation,B33,300+20
1750,1566,1-0,Time forfeit,Giuoco Piano,C50,300+5
1445,1513,0-1,Normal,King's Pawn Game: Wayward Queen Attack,C20,300+0
1930,1542,1-0,Time forfeit,Alekhine Defense #2,B03,60+0
1582,1488,1/2-1/2,Normal,King's Pawn Opening: 2.b3,C20,720+0
1605,1835,1-0,Normal,Van't Kruijs Opening,A00,60+0
1459,1424,1-0,Normal,Owen Defense,B00,300+2
1502,1749,1-0,Normal,Philidor Defense #3,C41,720+0
1412,1379,1-0,Normal,Bishop's Opening,C23,300+2
1817,1625,1-0,Time forfeit,Old Indian Defense,A53,60+0
1150,1516,1-0,Time forfeit,Van't Kruijs Opening,A00,0+8
1539,1933,0-1,Time forfeit,Zukertort Opening: Pirc Invitation,A04,60+0
1465,1477,1-0,Normal,"Italian Game: Two Knights Defense, Fritz Variation",C57,360+0
1747,1741,1-0,Normal,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",B00,300+2
1340,1369,0-1,Time forfeit,Caro-Kann Defense: Panov Attack #2,B13,300+2
1823,1523,1-0,Normal,Semi-Slav Defense,D43,60+0
1752,1544,0-1,Time forfeit,Modern Defense,A40,600+10
1578,1384,1-0,Normal,King's Pawn Game: Tayler Opening,C44,300+8
1668,1512,1-0,Normal,Philidor Defense,C41,120+2
1469,1417,0-1,Normal,King's Pawn Game: Leonardis Variation,C20,300+2
1261,1030,0-1,Time forfeit,"Englund Gambit Declined, Reversed French",A40,300+4
1174,1493,1/2-1/2,Normal,Van't Kruijs Opening,A00,0+8
1392,1524,1-0,Normal,"King's Gambit Accepted, MacLeod Defense",C34,300+0
1519,1827,0-1,Time forfeit,Old Benoni Defense #2,A43,60+0
1631,1523,1-0,Time forfeit,Saragossa Opening,A00,0+1
1612,1799,1-0,Normal,Ruy Lopez: Steinitz Defense,C62,300+5
1570,1756,0-1,Normal,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",C50,300+5
1635,1500,1-0,Normal,French Defense: King's Indian Attack,C00,1200+0
1495,1692,0-1,Time forfeit,King's Pawn Game: Maroczy Defense,B07,0+10
1506,1674,0-1,Normal,"Englund Gambit Declined, Reversed French",A40,120+2
1668,1633,0-1,Time forfeit,Caro-Kann Defense: Bronstein-Larsen Variation,B16,180+0
1508,1610,1-0,Time forfeit,Ruy Lopez: Exchange Variation,C68,480+0
1734,1711,1-0,Normal,Ruy Lopez: Steinitz Defense,C62,900+0
1163,1480,0-1,Normal,King's Pawn Game,C20,1200+10
1762,1263,0-1,Normal,Italian Game,C50,300+5
1564,1461,1-0,Normal,Sicilian Defense: Lasker-Dunne Attack,B20,240+3
1213,1384,0-1,Time forfeit,Sicilian Defense: Smith-Morra Gambit #2,B21,300+2
1681,1500,1-0,Normal,Philidor Defense,C41,120+2
1415,1889,1-0,Time forfeit,Bishop's Opening: Berlin Defense,C24,300+0
1782,1630,1-0,Time forfeit,Horwitz Defense,A40,300+0
1695,1673,0-1,Normal,"Italian Game: Giuoco Pianissimo, Normal",C50,300+0
1630,1541,0-1,Normal,"Italian Game: Giuoco Pianissimo, Normal",C50,600+0
1570,1481,1-0,Normal,Nimzo-Indian Defense #2,E20,300+5
1568,1830,0-1,Normal,English Opening: Symmetrical Variation,A30,60+0
1430,1730,0-1,Normal,Scotch Game,C44,300+2
1515,1500,1-0,Normal,Slav Defense #2,D10,60+2
1568,1746,0-1,Time forfeit,Van't Kruijs Opening,A00,60+0
1494,1687,1-0,Normal,Saragossa Opening,A00,120+2
1287,1739,0-1,Normal,Ruy Lopez: Classical Variation,C64,300+5
1834,1563,1-0,Time forfeit,Old Benoni Defense,A43,60+0
1465,1365,0-1,Normal,French Defense: Knight Variation,C00,60+11
1538,1370,1-0,Time forfeit,Queen's Pawn Game: Chigorin Variation,D01,180+0
1795,1522,1-0,Normal,Modern Defense: Mongredien Defense #2,B06,0+1
1522,1795,1-0,Time forfeit,"Caro-Kann Defense: Advance Variation, Short Variation",B12,0+1
1477,1422,0-1,Time forfeit,Pirc Defense #5,B07,360+0
1551,1752,0-1,Normal,"Italian Game: Classical Variation, Giuoco Pianissimo",C53,60+0
1183,1484,0-1,Normal,Van't Kruijs Opening,A00,0+8
1558,1839,0-1,Time forfeit,English Opening: Symmetrical Variation,A30,60+0
1746,1602,0-1,Time forfeit,French Defense: Normal Variation,C00,300+0
1649,1716,1-0,Normal,Ware Defense,B00,1020+7
1755,1427,1-0,Time forfeit,Sicilian Defense: Bowdler Attack,B20,600+2
1718,1321,1-0,Normal,Queen's Pawn Game: London System,D02,300+5
1693,1619,1-0,Time forfeit,Queen's Pawn Game #2,D00,600+0
1758,1545,1-0,Time forfeit,Three Knights Opening,C46,60+0
1294,1741,0-1,Normal,Colle System,D05,300+8
1639,1203,0-1,Time forfeit,Van't Kruijs Opening,A00,0+1
1482,1414,1-0,Time forfeit,"King's Gambit, Falkbeer Countergambit, Blackburne Attack",C31,60+11
1733,1843,0-1,Time forfeit,Old Benoni Defense,A43,60+0
1390,1780,0-1,Normal,King's Pawn Game: Wayward Queen Attack,C20,300+2
1734,1426,1-0,Normal,Queen's Pawn Game,D00,300+2
1372,1356,0-1,Normal,Queen's Pawn Game #2,D00,300+5
1380,1654,1-0,Normal,Queen's Pawn Game #2,D00,360+6
1763,1540,1-0,Normal,Three Knights Opening,C46,60+0
1851,1724,0-1,Time forfeit,Semi-Slav Defense: Botvinnik Variation,D44,60+0
1200,1307,0-1,Normal,Horwitz Defense,A40,300+1
1852,1730,1-0,Normal,Slav Defense: Exchange Variation,D13,720+0
1511,1529,0-1,Time forfeit,"Ruy Lopez: Morphy Defense, Caro Variation",C70,180+3
1641,1375,1/2-1/2,Normal,French Defense: Normal Variation,C00,1200+0
1535,1768,0-1,Time forfeit,"Italian Game: Giuoco Pianissimo, Normal",C50,60+0
1758,1690,1-0,Normal,Danish Gambit Accepted,C21,300+0
1590,1448,1-0,Time forfeit,Horwitz Defense,A40,180+0
1741,1789,1/2-1/2,Normal,Scandinavian Defense: Mieses-Kotroc Variation,B01,300+5
1740,1835,0-1,Normal,Old Benoni Defense #2,A43,60+0
1813,1602,1-0,Normal,Owen Defense,B00,1260+0
1327,1379,0-1,Normal,Queen's Gambit Refused: Austrian Defense,D06,300+2
1844,1732,1-0,Time forfeit,"Queen's Gambit Declined: Neo-Orthodox Variation, Main Line",D55,60+0
1722,1860,0-1,Normal,French Defense: Reti-Spielmann Attack,C00,720+0
1773,1530,1-0,Time forfeit,Three Knights Opening,C46,60+0
1441,1624,1/2-1/2,Normal,Bishop's Opening: Berlin Defense,C24,300+1
1622,1729,0-1,Normal,Van't Kruijs Opening,A00,300+0
